rate,IR,totalAsset2023,totalDebt2023,totalEquity2023,revenue2023,operatingIncome2023,earningBeforeTax2023,margin2023,turnover2023,leverage2023,totalAsset2022,totalDebt2022,totalEquity2022,revenue2022,operatingIncome2022,earningBeforeTax2022,margin2022,turnover2022,leverage2022,totalAsset2021,totalDebt2021,totalEquity2021,revenue2021,operatingIncome2021,earningBeforeTax2021,margin2021,turnover2021,leverage2021
BBB+,11,2.35E+12,1.35E+12,9.97E+11,1.69E+11,37223707165,1.77E+11,1.045010617,0.072046367,2.354499396,2.07E+12,1.25E+12,8.17E+11,1.35E+11,19185280991,30498487923,0.225445462,0.065488758,2.529006221,2.06E+12,1.26E+12,8.01E+11,96732675316,-5333099753,36126657182,0.373469017,0.046996902,2.569092145
BBB+,14,1.73E+12,1.12E+12,6.14E+11,1.61E+12,29449898866,-22746360005,-0.014144968,0.927757728,2.825024851,1.82E+12,1.20E+12,6.27E+11,1.87E+12,48301486163,-7741897895,-0.004137163,1.02560439,2.909647875,1.65E+12,1.19E+12,4.61E+11,1.13E+12,19343532632,-11485837791,-0.010172257,0.683323454,3.585237566
BBB+,14,1.56E+12,9.09E+11,6.46E+11,1.13E+12,45625511996,28904850747,0.025541822,0.727582485,2.408077155,1.36E+12,7.11E+11,6.48E+11,1.16E+12,20319000000,47431000000,0.041046433,0.84990729,2.097504647,1.23E+12,6.23E+11,6.06E+11,7.18E+11,41503000000,50264000000,0.069977599,0.584496366,2.028210786
BBB+,10,1.20E+12,7.52E+11,4.45E+11,1.80E+12,83728814908,84627250932,0.046943164,1.506299105,2.689086959,1.00E+12,6.48E+11,3.57E+11,1.69E+12,87362958755,95109032046,0.056268497,1.682496608,2.815140071,8.71E+11,5.82E+11,2.88E+11,1.24E+12,24157220350,31531060960,0.025498346,1.420141244,3.018814886
BBB+,12,1.10E+12,3.11E+11,7.88E+11,8.66E+11,26548625914,31027663790,0.035815187,0.787820687,1.395066133,9.26E+11,1.60E+11,7.66E+11,6.25E+11,20463968046,-17103673358,-0.02735194,0.675139321,1.20843523,0,0,0,0,0,0,0,0,0
BBB+,11,1.07E+12,6.46E+11,4.24E+11,1.54E+12,1.44E+11,1.14E+11,0.073789101,1.442010395,2.523415597,1.02E+12,6.79E+11,3.43E+11,1.47E+12,1.40E+11,1.11E+11,0.075956213,1.43317789,2.979333644,8.98E+11,6.33E+11,2.65E+11,1.20E+12,74322762774,48360638252,0.040303789,1.335475693,3.390517469
BBB+,12,9.88E+11,7.71E+11,2.18E+11,2.16E+12,72420507238,57348007255,0.026542361,2.186071242,4.537318012,8.11E+11,6.54E+11,1.57E+11,1.82E+12,38516830106,33228557555,0.018242221,2.246208804,5.181556062,4.16E+11,2.59E+11,1.58E+11,9.32E+11,12759974586,13351098208,0.014320571,2.239671103,2.641349032
BBB+,6,9.84E+11,6.15E+11,3.68E+11,3.90E+11,16227308107,-3556753200,-0.009119088,0.396492018,2.671000992,1.01E+12,6.29E+11,3.78E+11,4.11E+11,23150739615,4983497902,0.012116808,0.408164553,2.663426548,9.53E+11,5.76E+11,3.77E+11,4.00E+11,30151833641,13538148626,0.03388765,0.419339911,2.525937091
BBB+,8,8.99E+11,4.32E+11,4.67E+11,4.20E+11,16747766268,-4642399938,-0.011061587,0.467076348,1.924429615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBB+,5,8.34E+11,4.68E+11,3.66E+11,3.87E+11,21111259627,10988324633,0.028368611,0.464495993,2.277879592,7.31E+11,3.55E+11,3.76E+11,4.15E+11,64273149352,-20265814633,-0.048853033,0.567367186,1.943005603,7.22E+11,3.42E+11,3.79E+11,3.65E+11,69667993298,62035046957,0.169730858,0.506543895,1.90142968
