"아래는 ""채무보증내역"" 테이블의 내용을 TSV 형식으로 변환한 것입니다."
""
```
법인명(채무자)	관계	채권자	내용	목적	보증시작일	보증종료일	채무보증한도	채무금액	이자율
SEA	계열회사	BOA 등	지급보증	운영자금	2023.04.16	2024.12.16	1,278,000	1,278,000	-
SEM	계열회사	BBVA 등	지급보증	운영자금	2023.03.28	2024.12.16	715,000	715,000	-
SAMCOL	계열회사	Citibank 등	지급보증	운영자금	2023.06.14	2024.12.16	210,000	210,000	-
SEDA	계열회사	BRADESCO 등	지급보증	운영자금	2023.10.01	2024.12.16	409,000	329,000	-
SECH	계열회사	Citibank 등	지급보증	운영자금	2023.06.14	2024.12.16	62,000	62,000	-
SEPR	계열회사	BBVA 등	지급보증	운영자금	2023.06.01	2024.12.16	150,000	150,000	-
SSA	계열회사	SCB 등	지급보증	운영자금	2023.06.14	2024.12.16	318,000	318,000	-
SEMAG	계열회사	SocGen 등	지급보증	운영자금	2023.11.09	2024.12.16	110,000	96,000	-
SETK	계열회사	BNP 등	지급보증	운영자금	2023.06.14	2024.12.16	777,000	917,000	48.8%
SETK-P	계열회사	BNP 등	지급보증	운영자금	2023.11.09	2024.12.16	130,000	70,000	-
SECE	계열회사	Citibank	지급보증	운영자금	2023.12.17	2024.12.16	60,000	114,000	-
SEEG	계열회사	HSBC	지급보증	운영자금	2023.06.14	2024.06.13	85,000	85,000	-
SEIN	계열회사	BNP 등	지급보증	운영자금	2023.06.14	2024.11.08	70,000	70,000	-
SJC	계열회사	Mizuho Bank 등	지급보증	운영자금	2023.04.28	2024.12.16	832,572	835,508	-
SEUC	계열회사	Credit Agricole 등	지급보증	운영자금	2023.06.14	2024.12.16	150,000	125,000	-
SEDAM	계열회사	Citibank 등	지급보증	운영자금	2023.06.14	2024.12.16	537,000	537,000	-
SECA	계열회사	BOA	지급보증	운영자금	2023.11.09	2024.11.08	70,000	70,000	-
SELA	계열회사	Citibank	지급보증	운영자금	2023.12.17	2024.12.16	60,000	60,000	-
SEEH	계열회사	HSBC 등	지급보증	운영자금	2023.06.14	2024.12.16	888,400	888,400	-
SERK	계열회사	SMBC	지급보증	운영자금	2023.06.14	2024.12.16	45,000	-	-
SELV	계열회사	Citibank	지급보증	운영자금	2023.12.17	2024.12.16	10,000	10,000	-
SEIL	계열회사	Citibank	지급보증	운영자금	2023.12.17	2024.12.16	15,600	15,600	-
SAPL	계열회사	BOA 등	지급보증	운영자금	2023.06.14	2024.12.16	404,000	404,000	-
SAVINA	계열회사	HSBC	지급보증	운영자금	2023.06.14	2024.06.13	51,000	51,000	-
SCIC	계열회사	HSBC 등	지급보증	운영자금	2023.06.14	2024.12.16	300,000	270,000	-
SESP	계열회사	SCB	지급보증	운영자금	2023.11.09	2024.11.08	-	30,000	-
SME	계열회사	SCB	지급보증	운영자금	2023.11.09	2024.11.08	110,000	110,000	-
SAMEX	계열회사	Citibank	지급보증	운영자금	2023.12.17	2024.12.16	5,000	5,000	-
SEASA	계열회사	Citibank	지급보증	운영자금	2023.12.17	2024.12.16	2,000	2,000	-
SSAP	계열회사	SCB	지급보증	운영자금	2023.11.09	2024.11.08	35,000	35,000	-
SEPM	계열회사	HSBC	지급보증	운영자금	2023.06.14	2024.06.13	35,000	35,000	-
SESAR	계열회사	HSBC	지급보증	운영자금	2023.06.14	2024.06.13	20,000	20,000	-
```
""
위 내용을 TSV 파일로 저장하면 됩니다. 각 열은 탭으로 구분되어 있습니다.
