법인명(채무자)	관계	채권자	보증건수	보증기간_시작일	보증기간_종료일	채무보증한도_기초	채무보증한도_기말	채무보증한도_증감	채무보증한도_기말	채무금액
SEA	계열회사	BOA 등	-	2023-04-16	2024-12-16	1278000	1278000	-	-	-
SEM	계열회사	BBVA 등	-	2023-03-28	2024-12-16	715000	715000	-	-	-
SAMCOL	계열회사	Citibank 등	-	2023-06-14	2024-12-16	210000	210000	-	-	-
SEDA	계열회사	BRADESCO 등	-	2023-10-01	2024-12-16	409000	329000	-	-	-
SECH	계열회사	Citibank 등	-	2023-06-14	2024-12-16	62000	62000	-	-	-
SEPR	계열회사	BBVA 등	-	2023-06-01	2024-12-16	150000	150000	-	-	-
SSA	계열회사	SCB 등	-	2023-06-14	2024-12-16	318000	318000	-	-	-
SEMAG	계열회사	SocGen 등	-	2023-11-09	2024-12-16	110000	96000	-	8065	8065
SETK	계열회사	BNP 등	-	2023-06-14	2024-12-16	777000	917000	239395	81498	320893
SETK-P	계열회사	BNP 등	-	2023-11-09	2024-12-16	130000	70000	25649	-	-
SECE	계열회사	Citibank	-	2023-12-17	2024-12-16	60000	114000	-	-	-
SEEG	계열회사	HSBC	-	2023-06-14	2024-06-13	85000	85000	-	-	-
SEIN	계열회사	BNP 등	-	2023-06-14	2024-11-08	70000	70000	-	-	-
SJC	계열회사	Mizuho Bank 등	-	2023-04-28	2024-12-16	832572	835508	-	-	-
SEUC	계열회사	Credit Agricole 등	-	2023-06-14	2024-12-16	150000	125000	-	-	-
SEDAM	계열회사	Citibank 등	-	2023-06-14	2024-12-16	537000	537000	155768	-	-
SECA	계열회사	BOA	-	2023-11-09	2024-11-08	70000	70000	-	-	-
SELA	계열회사	Citibank	-	2023-12-17	2024-12-16	60000	60000	-	-	-
SEEH	계열회사	HSBC 등	-	2023-06-14	2024-12-16	888400	888400	-	-	-
SERK	계열회사	SMBC	-	2023-06-14	2024-12-16	45000	-	-	-	-
SELV	계열회사	Citibank	-	2023-12-17	2024-12-16	10000	10000	-	-	-
SEIL	계열회사	Citibank	-	2023-12-17	2024-12-16	15600	15600	9664	-	-
SAPL	계열회사	BOA 등	-	2023-06-14	2024-12-16	404000	404000	-	-	-
SAVINA	계열회사	HSBC	-	2023-06-14	2024-06-13	51000	51000	-	-	-
SCIC	계열회사	HSBC 등	-	2023-06-14	2024-12-16	300000	270000	-	-	-
SESP	계열회사	SCB	-	2023-11-09	2024-11-08	-	30000	-	-	-
SME	계열회사	SCB	-	2023-11-09	2024-11-08	110000	110000	-	-	-
SAMEX	계열회사	Citibank	-	2023-12-17	2024-12-16	5000	5000	-	-	-
SEASA	계열회사	Citibank	-	2023-12-17	2024-12-16	2000	2000	-	-	-
SSAP	계열회사	SCB	-	2023-11-09	2024-11-08	35000	35000	-	-	-
SEPM	계열회사	HSBC	-	2023-06-14	2024-06-13	35000	35000	-	-	-
SESAR	계열회사	HSBC	-	2023-06-14	2024-06-13	20000	20000	-	-	-
